"RANK","PLAYER","TEAM","GP","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS","EFF","AST_TOV","STL_TOV"
"1","Dennis Rodman","SAN","79","2989","156","292","0.534","5","24","0.208","53","102","0.52","453","914","1367","184","52","32","138","229","370","1682","1.33","0.38"
"2","Shaquille O'Neal","ORL","81","3224","953","1591","0.599","0","2","0","471","850","0.554","384","688","1072","195","76","231","222","281","2377","2712","0.88","0.34"
"3","Charles Oakley","NYK","82","2932","363","760","0.478","0","3","0","243","313","0.776","349","616","965","218","110","18","193","293","969","1620","1.13","0.57"
"4","Kevin Willis","ATL","80","2867","627","1257","0.499","9","24","0.375","268","376","0.713","335","628","963","150","79","38","188","250","1531","1835","0.8","0.42"
"5","Buck Williams","POR","81","2636","291","524","0.555","0","1","0","201","296","0.679","315","528","843","80","58","47","111","239","783","1372","0.72","0.52"
"6","Shawn Kemp","SEA","79","2597","533","990","0.538","1","4","0.25","364","491","0.741","312","539","851","207","142","166","259","312","1431","1954","0.8","0.55"
"7","Horace Grant","CHI","70","2570","460","878","0.524","0","6","0","137","230","0.596","306","463","769","236","74","84","109","164","1057","1600","2.17","0.68"
"8","Chris Webber","GOS","76","2438","572","1037","0.552","0","14","0","189","355","0.532","305","389","694","272","93","164","206","247","1333","1719","1.32","0.45"
"9","Olden Polynice","SAC","68","2402","346","662","0.523","0","2","0","97","191","0.508","299","510","809","41","42","67","78","189","789","1260","0.53","0.54"
"9","Popeye Jones","DAL","81","1773","195","407","0.479","0","1","0","78","107","0.729","299","306","605","99","61","31","94","246","468","929","1.05","0.65"
"11","Dikembe Mutombo","DEN","82","2853","365","642","0.569","0","1","0","256","439","0.583","286","685","971","127","59","336","206","262","986","1813","0.62","0.29"
"12","Vlade Divac","LAL","79","2685","453","895","0.506","9","47","0.191","208","303","0.686","282","569","851","307","92","112","191","288","1123","1757","1.61","0.48"
"13","Dale Davis","IND","66","2292","308","582","0.529","0","1","0","155","294","0.527","280","438","718","100","48","106","102","214","771","1228","0.98","0.47"
"14","Vin Baker","MIL","82","2560","435","869","0.501","1","5","0.2","234","411","0.569","277","344","621","163","60","114","162","231","1105","1290","1.01","0.37"
"15","A.C. Green","PHX","82","2825","465","926","0.502","8","35","0.229","266","362","0.735","275","478","753","137","70","38","100","142","1204","1545","1.37","0.7"
"16","Otis Thorpe","HOU","82","2909","449","801","0.561","0","2","0","251","382","0.657","271","599","870","189","66","28","185","253","1149","1634","1.02","0.36"
"17","Derrick Coleman","NJN","77","2778","541","1209","0.447","38","121","0.314","439","567","0.774","262","608","870","262","68","142","208","209","1559","1897","1.26","0.33"
"18","Clar. Weatherspoon","PHL","82","3147","602","1246","0.483","4","17","0.235","298","430","0.693","254","578","832","192","100","116","195","152","1506","1775","0.99","0.51"
"19","Rony Seikaly","MIA","72","2410","392","803","0.488","0","2","0","304","422","0.72","244","496","740","136","59","100","195","279","1088","1399","0.7","0.3"
"20","David Robinson","SAN","80","3241","840","1658","0.507","10","29","0.345","693","925","0.749","241","614","855","381","139","265","253","228","2383","2720","1.51","0.55"
"21","Felton Spencer","UTH","79","2210","256","507","0.505","0","0","0","165","272","0.607","235","423","658","43","41","67","127","304","677","1001","0.34","0.32"
"21","Karl Malone","UTH","82","3329","772","1552","0.497","8","32","0.25","511","736","0.694","235","705","940","328","125","126","234","268","2063","2343","1.4","0.53"
"23","Billy Owens","GOS","79","2738","492","971","0.507","3","15","0.2","199","326","0.61","230","410","640","326","83","60","214","269","1186","1475","1.52","0.39"
"24","Hakeem Olajuwon","HOU","80","3277","894","1694","0.528","8","19","0.421","388","542","0.716","229","726","955","287","128","297","271","289","2184","2626","1.06","0.47"
"25","George Lynch","LAL","71","1762","291","573","0.508","0","5","0","99","166","0.596","220","190","410","96","102","27","87","177","681","880","1.1","1.17"
